,sample_type,theta,cutp,cutn,seed_num,mes,stress_mean,sample_num
309,cut_second,-1.5707963267899998,1,-1,489,9.25236323338,29870960.9567,154.0
310,cut_first,0.0,1,-1,471,2.42531701035,2658842.19844,155.0
311,cut_second,-1.5707963267899998,1,-1,471,2.6082679128099997,2658842.19844,155.0
312,cut_first,0.0,1,-1,368,5.4273594407,19150789.6267,156.0
313,cut_second,-1.5707963267899998,1,-1,368,6.41429240132,19150789.6267,156.0
314,cut_first,0.0,1,-1,568,10.0144364964,25749728.5558,157.0
315,cut_second,-1.5707963267899998,1,-1,568,11.632963410699999,25749728.5558,157.0
316,cut_first,0.0,1,-1,982,5.53257278099,13536430.7469,158.0
317,cut_second,-1.5707963267899998,1,-1,982,5.32322254865,13536430.7469,158.0
318,cut_first,0.0,1,-1,386,6.35877518636,14047961.0419,159.0
319,cut_second,-1.5707963267899998,1,-1,386,4.5501721599,14047961.0419,159.0
320,cut_first,0.0,1,-1,20,8.652535821830002,25009542.4707,160.0
321,cut_second,-1.5707963267899998,1,-1,20,6.92245796471,25009542.4707,160.0
322,cut_first,0.0,1,-1,459,8.64993918226,23969064.9175,161.0
323,cut_second,-1.5707963267899998,1,-1,459,9.13352960286,23969064.9175,161.0
324,cut_first,0.0,1,-1,815,7.6263028979100005,20569386.4976,162.0
325,cut_second,-1.5707963267899998,1,-1,815,9.15180930129,20569386.4976,162.0
326,cut_first,0.0,1,-1,900,0.931064508326,2303029.4991900004,163.0
327,cut_second,-1.5707963267899998,1,-1,900,0.141428549915,2303029.4991900004,163.0
328,cut_first,0.0,1,-1,785,9.87822460382,18674966.6746,164.0
329,cut_second,-1.5707963267899998,1,-1,785,7.2643310222,18674966.6746,164.0
330,cut_first,0.0,1,-1,400,5.13985421293,7900048.19252,165.0
331,cut_second,-1.5707963267899998,1,-1,400,4.41994829249,7900048.19252,165.0
332,cut_first,0.0,1,-1,51,5.20932193886,15035013.1352,166.0
333,cut_second,-1.5707963267899998,1,-1,51,6.20906426426,15035013.1352,166.0
334,cut_first,0.0,1,-1,114,6.146050970219999,17317518.818,167.0
335,cut_second,-1.5707963267899998,1,-1,114,9.149334593189998,17317518.818,167.0
336,cut_first,0.0,1,-1,905,9.2405523534,19409046.6602,168.0
337,cut_second,-1.5707963267899998,1,-1,905,9.09793398962,19409046.6602,168.0
338,cut_first,0.0,1,-1,18,7.2320201306300005,18176962.5875,169.0
339,cut_second,-1.5707963267899998,1,-1,18,6.288191949010001,18176962.5875,169.0
340,cut_first,0.0,1,-1,224,-0.35495870237899996,-5714584.72776,170.0
341,cut_second,-1.5707963267899998,1,-1,224,-3.22753179962,-5714584.72776,170.0
342,cut_first,0.0,1,-1,843,8.5970468497,10731968.7611,171.0
343,cut_second,-1.5707963267899998,1,-1,843,9.58583713673,10731968.7611,171.0
344,cut_first,0.0,1,-1,576,11.2407229825,23529305.801,172.0
345,cut_second,-1.5707963267899998,1,-1,576,11.205082226400002,23529305.801,172.0
346,cut_first,0.0,1,-1,90,5.7587176566,15595712.7688,173.0
347,cut_second,-1.5707963267899998,1,-1,90,4.1381736633,15595712.7688,173.0
